Wall time,Step,Value
1741463241.1709778,2082,148.0
1741463241.2574685,2086,-642.0
1741463241.3427277,2090,-67.0
1741463241.4942877,2097,-718.0
1741463242.2574408,2112,890.0
1741463243.012944,2146,-799.0
1741463243.100655,2150,810.0
1741463243.2541869,2157,-587.0
1741463243.461086,2166,480.0
1741463243.9331808,2188,-932.0
1741463243.9760149,2190,810.0
1741463244.0288339,2192,-2193.0
1741463244.2022758,2200,835.0
1741463244.3803232,2208,-1534.0
1741463244.4676764,2212,505.0
1741463244.9135497,2232,571.0
1741463245.0241425,2237,-1036.0
1741463245.046621,2238,170.0
1741463245.0895002,2240,-1202.0
1741463245.15468,2243,-1377.0
1741463245.261449,2248,660.0
1741463245.4371257,2255,408.0
1741463245.5023434,2258,-1196.0
1741463245.6106453,2263,735.0
1741463246.041732,2282,-1251.0
1741463246.2583091,2292,685.0
1741463246.386053,2298,-580.0
1741463246.5183604,2304,-585.0
1741463246.6053417,2308,-1164.0
1741463246.8747776,2320,-677.0
1741463246.896801,2321,10.0
1741463247.4544637,2346,855.0
1741463247.6533382,2355,-579.0
1741463248.439943,2390,148.0
1741463248.4617147,2391,-45.0
1741463248.5037467,2393,-652.0
1741463249.5080712,2437,-818.0
1741463249.6850007,2445,-1292.0
1741463249.8398063,2452,-1686.0
1741463249.884021,2454,-407.0
1741463249.9279616,2456,15.0
1741463250.0478632,2461,-458.0
1741463251.0539923,2486,-936.0
1741463251.0754695,2487,-1508.0
1741463251.3039134,2497,-1704.0
1741463251.346522,2499,-1032.0
1741463251.463804,2504,-792.0
1741463251.7723835,2518,-1174.0
1741463251.9127932,2524,-792.0
1741463252.1138642,2533,-1020.0
1741463252.4543571,2548,-622.0
1741463252.554046,2552,-1276.0
1741463252.5977979,2554,-303.0
1741463253.14095,2579,-782.0
1741463253.625818,2601,-882.0
1741463253.751909,2607,22.0
1741463254.1188388,2624,-452.0
1741463254.2448041,2630,860.0
1741463254.2668326,2631,410.0
1741463254.5756552,2645,-644.0
1741463254.8138218,2656,70.0
1741463255.3257291,2679,-1572.0
1741463255.4793706,2686,-150.0
1741463255.5913746,2691,-652.0
1741463255.8818686,2704,640.0
1741463256.0361779,2711,-1200.0
1741463256.3710752,2726,-1501.0
1741463256.644741,2738,-1472.0
1741463256.7120721,2741,-762.0
1741463257.0149753,2755,-82.0
1741463257.7970347,2790,-468.0
1741463257.828778,2791,-264.0
1741463257.8566217,2792,810.0
1741463258.2534873,2810,13.0
1741463258.5967913,2825,-782.0
1741463260.0961576,2873,-1906.0
1741463260.306348,2882,-177.0
1741463260.5080707,2891,-1407.0
1741463260.6430314,2897,-177.0
1741463261.1630392,2918,398.0
1741463261.2110243,2920,-743.0
1741463261.2335477,2921,750.0
1741463262.295568,2968,-282.0
1741463262.4838848,2976,664.0
1741463262.9821825,2999,-402.0
1741463263.4056563,3012,1020.0
1741463263.7550066,3028,-607.0
1741463263.8355074,3031,855.0
1741463264.0073931,3039,780.0
1741463264.072683,3042,840.0
